2012-03-09 18:57:53 Notice: Notice (8): Undefined index:  before in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/view/helpers/form.php, line 862]
2012-03-09 18:57:53 Notice: Notice (8): Undefined index:  between in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/view/helpers/form.php, line 862]
2012-03-09 18:57:53 Notice: Notice (8): Undefined index:  after in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/view/helpers/form.php, line 862]
2012-03-09 18:57:53 Notice: Notice (8): Undefined index:  format in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/view/helpers/form.php, line 865]
2012-03-09 21:46:40 Notice: Notice (8): Undefined variable: fees_array in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 52]
2012-03-09 23:11:24 Notice: Notice (8): Undefined variable: years_short in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 39]
2012-03-09 23:11:24 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 40]
2012-03-09 23:11:24 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 41]
2012-03-09 23:11:24 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 48]
2012-03-09 23:11:24 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:11:24 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:11:24 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 78]
2012-03-09 23:11:24 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 84]
2012-03-09 23:20:05 Notice: Notice (8): Undefined variable: years_short in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 39]
2012-03-09 23:20:05 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 40]
