2012-03-09 18:57:53 Warning: Warning (2): array_merge() [<a href='http://php.net/function.array-merge'>function.array-merge</a>]: Argument #3 is not an array in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/view/helpers/form.php, line 723]
2012-03-09 21:14:09 Warning: Warning (2): range() expects at most 3 parameters, 19 given in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 77]
2012-03-10 00:02:02 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/helpers/formhidden.php, line 8]
2012-03-10 01:17:17 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 01:17:17 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 01:17:17 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 01:17:17 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 01:17:17 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:08:28 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:08:28 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:08:28 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:08:28 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:08:28 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:19:31 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:19:31 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:19:31 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:19:31 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:19:31 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:19:42 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 47]
2012-03-10 14:19:42 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 64]
2012-03-10 14:19:42 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 81]
2012-03-10 14:19:42 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 110]
2012-03-10 14:19:42 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 121]
2012-03-10 14:26:08 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:26:08 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:26:08 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:26:08 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:26:08 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:26:43 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:26:43 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:26:43 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:26:43 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:26:43 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:28:07 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:28:07 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:28:07 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:28:07 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:28:07 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:28:36 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:28:36 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:28:36 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:28:36 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:28:36 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:29:56 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:29:56 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:29:56 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:29:56 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:29:56 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:33:49 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:33:49 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:33:49 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:33:49 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:33:49 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:33:55 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 47]
2012-03-10 14:33:55 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 64]
2012-03-10 14:33:55 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 81]
2012-03-10 14:33:55 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 110]
2012-03-10 14:33:55 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 121]
2012-03-10 14:34:05 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:34:05 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:34:05 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:34:05 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:34:05 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:35:39 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:35:39 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:35:39 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:35:39 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:35:39 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:36:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:36:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:36:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:36:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:36:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:51:43 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 23]
2012-03-10 14:51:43 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 24]
2012-03-10 14:51:43 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 25]
2012-03-10 15:43:30 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 15:57:36 Warning: Warning (2): Invalid argument supplied for foreach() in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 111]
2012-03-10 15:57:36 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/debugger.php:686) in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/controller/controller.php, line 742]
2012-03-10 21:46:08 Warning: Warning (2): require_once(base_facebook.php) [<a href='http://php.net/function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/vendors/facebook/facebook.php, line 18]
2012-03-10 23:43:47 Warning: Warning (2): strtotime() expects parameter 2 to be long, string given in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 51]
2012-03-11 13:49:57 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Teacher_fb_id' in 'where clause'</span> in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/model/datasources/dbo_source.php, line 684]
2012-03-11 13:49:57 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/debugger.php:686) in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/controller/controller.php, line 742]
2012-03-11 13:51:56 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Teacher_fb_id' in 'where clause'</span> in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/model/datasources/dbo_source.php, line 684]
2012-03-11 13:58:12 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 34]
2012-03-11 13:58:12 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 35]
2012-03-11 13:58:12 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 36]
2012-03-11 13:58:12 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 39]
2012-03-11 13:58:31 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 34]
2012-03-11 13:58:31 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 35]
2012-03-11 13:58:31 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 36]
2012-03-11 13:58:31 Warning: Warning (2): array_key_exists() [<a href='http://php.net/function.array-key-exists'>function.array-key-exists</a>]: The second argument should be either an array or an object in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 39]
